                                   Moon                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                       David Rittenhouse Laboratory                       
              Location:  W 75°11'20.4", N39°57'08.1",    12m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 km
2014 Jun 29 05:40:00.0     124.03674       345.55212        408434.783
2014 Jun 29 05:45:00.0     124.26345       346.92294        408460.313
2014 Jun 29 05:50:00.0     124.46867       348.30221        408483.786
2014 Jun 29 05:55:00.0     124.65215       349.68920        408505.194
2014 Jun 29 06:00:00.0     124.81368       351.08311        408524.530
2014 Jun 29 06:05:00.0     124.95307       352.48313        408541.788
2014 Jun 29 06:10:00.0     125.07014       353.88839        408556.961
2014 Jun 29 06:15:00.0     125.16476       355.29803        408570.046
2014 Jun 29 06:20:00.0     125.23679       356.71114        408581.038
2014 Jun 29 06:25:00.0     125.28617       358.12680        408589.935
2014 Jun 29 06:30:00.0     125.31282       359.54410        408596.735
2014 Jun 29 06:35:00.0     125.31670         0.96208        408601.437
2014 Jun 29 06:40:00.0     125.29783         2.37982        408604.041
2014 Jun 29 06:45:00.0     125.25621         3.79637        408604.547
2014 Jun 29 06:50:00.0     125.19191         5.21080        408602.957
2014 Jun 29 06:55:00.0     125.10501         6.62219        408599.275
2014 Jun 29 07:00:00.0     124.99561         8.02963        408593.502
2014 Jun 29 07:05:00.0     124.86385         9.43225        408585.645
2014 Jun 29 07:10:00.0     124.70989        10.82917        408575.707
2014 Jun 29 07:15:00.0     124.53392        12.21957        408563.696
2014 Jun 29 07:20:00.0     124.33615        13.60266        408549.619
2014 Jun 29 07:25:00.0     124.11682        14.97766        408533.482
2014 Jun 29 07:30:00.0     123.87618        16.34385        408515.296
2014 Jun 29 07:35:00.0     123.61450        17.70055        408495.070
2014 Jun 29 07:40:00.0     123.33210        19.04712        408472.815
2014 Jun 29 07:45:00.0     123.02926        20.38296        408448.541
2014 Jun 29 07:50:00.0     122.70634        21.70752        408422.263
2014 Jun 29 07:55:00.0     122.36366        23.02029        408393.992
2014 Jun 29 08:00:00.0     122.00159        24.32082        408363.742
2014 Jun 29 08:05:00.0     121.62049        25.60869        408331.530
2014 Jun 29 08:10:00.0     121.22073        26.88355        408297.370
2014 Jun 29 08:15:00.0     120.80271        28.14506        408261.280
2014 Jun 29 08:20:00.0     120.36681        29.39297        408223.276
2014 Jun 29 08:25:00.0     119.91344        30.62703        408183.378
2014 Jun 29 08:30:00.0     119.44298        31.84707        408141.604
2014 Jun 29 08:35:00.0     118.95585        33.05294        408097.974
2014 Jun 29 08:40:00.0     118.45244        34.24453        408052.510
2014 Jun 29 08:45:00.0     117.93318        35.42178        408005.232
2014 Jun 29 08:50:00.0     117.39845        36.58465        407956.163
2014 Jun 29 08:55:00.0     116.84866        37.73315        407905.326
2014 Jun 29 09:00:00.0     116.28422        38.86731        407852.746
2014 Jun 29 09:05:00.0     115.70553        39.98719        407798.447
2014 Jun 29 09:10:00.0     115.11297        41.09289        407742.453
2014 Jun 29 09:15:00.0     114.50693        42.18453        407684.793
2014 Jun 29 09:20:00.0     113.88780        43.26224        407625.492
2014 Jun 29 09:25:00.0     113.25596        44.32620        407564.578
2014 Jun 29 09:30:00.0     112.61179        45.37658        407502.080
2014 Jun 29 09:35:00.0     111.95564        46.41360        407438.026
2014 Jun 29 09:40:00.0     111.28788        47.43746        407372.447
2014 Jun 29 09:45:00.0     110.60885        48.44841        407305.373
2014 Jun 29 09:50:00.0     109.91892        49.44669        407236.835
2014 Jun 29 09:55:00.0     109.21840        50.43256        407166.864
2014 Jun 29 10:00:00.0     108.50764        51.40630        407095.494
2014 Jun 29 10:05:00.0     107.78696        52.36820        407022.757
