                                   Moon                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                         Cherry Springs State Park                        
              Location:  W 77°48'45.0", N41°39'52.6",   710m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 km
2014 Jun 29 02:05:00.0      96.42913       297.01860        405361.748
2014 Jun 29 02:10:00.0      97.23610       297.86180        405456.043
2014 Jun 29 02:15:00.0      98.03670       298.71236        405549.484
2014 Jun 29 02:20:00.0      98.83071       299.57059        405642.034
2014 Jun 29 02:25:00.0      99.61789       300.43680        405733.653
2014 Jun 29 02:30:00.0     100.39802       301.31129        405824.304
2014 Jun 29 02:35:00.0     101.17084       302.19438        405913.949
2014 Jun 29 02:40:00.0     101.93611       303.08636        406002.551
2014 Jun 29 02:45:00.0     102.69357       303.98752        406090.073
2014 Jun 29 02:50:00.0     103.44296       304.89818        406176.480
2014 Jun 29 02:55:00.0     104.18402       305.81860        406261.734
2014 Jun 29 03:00:00.0     104.91647       306.74909        406345.803
2014 Jun 29 03:05:00.0     105.64002       307.68992        406428.649
2014 Jun 29 03:10:00.0     106.35440       308.64137        406510.241
2014 Jun 29 03:15:00.0     107.05931       309.60371        406590.543
2014 Jun 29 03:20:00.0     107.75445       310.57719        406669.524
2014 Jun 29 03:25:00.0     108.43951       311.56207        406747.150
2014 Jun 29 03:30:00.0     109.11418       312.55858        406823.390
2014 Jun 29 03:35:00.0     109.77814       313.56697        406898.214
2014 Jun 29 03:40:00.0     110.43107       314.58745        406971.589
2014 Jun 29 03:45:00.0     111.07263       315.62023        407043.488
2014 Jun 29 03:50:00.0     111.70248       316.66549        407113.879
2014 Jun 29 03:55:00.0     112.32028       317.72342        407182.736
2014 Jun 29 04:00:00.0     112.92569       318.79417        407250.029
2014 Jun 29 04:05:00.0     113.51834       319.87789        407315.732
2014 Jun 29 04:10:00.0     114.09789       320.97468        407379.818
2014 Jun 29 04:15:00.0     114.66396       322.08466        407442.262
2014 Jun 29 04:20:00.0     115.21619       323.20789        407503.039
2014 Jun 29 04:25:00.0     115.75421       324.34443        407562.123
2014 Jun 29 04:30:00.0     116.27765       325.49429        407619.492
2014 Jun 29 04:35:00.0     116.78613       326.65747        407675.122
2014 Jun 29 04:40:00.0     117.27929       327.83393        407728.993
2014 Jun 29 04:45:00.0     117.75675       329.02360        407781.081
2014 Jun 29 04:50:00.0     118.21812       330.22638        407831.367
2014 Jun 29 04:55:00.0     118.66305       331.44214        407879.832
2014 Jun 29 05:00:00.0     119.09116       332.67070        407926.455
2014 Jun 29 05:05:00.0     119.50209       333.91185        407971.219
2014 Jun 29 05:10:00.0     119.89548       335.16535        408014.107
2014 Jun 29 05:15:00.0     120.27097       336.43090        408055.101
2014 Jun 29 05:20:00.0     120.62822       337.70819        408094.187
2014 Jun 29 05:25:00.0     120.96688       338.99683        408131.349
2014 Jun 29 05:30:00.0     121.28665       340.29643        408166.573
2014 Jun 29 05:35:00.0     121.58719       341.60653        408199.847
2014 Jun 29 05:40:00.0     121.86820       342.92665        408231.157
2014 Jun 29 05:45:00.0     122.12940       344.25626        408260.491
2014 Jun 29 05:50:00.0     122.37051       345.59480        408287.841
2014 Jun 29 05:55:00.0     122.59128       346.94165        408313.194
2014 Jun 29 06:00:00.0     122.79147       348.29618        408336.544
2014 Jun 29 06:05:00.0     122.97085       349.65773        408357.880
2014 Jun 29 06:10:00.0     123.12923       351.02558        408377.197
2014 Jun 29 06:15:00.0     123.26643       352.39900        408394.488
2014 Jun 29 06:20:00.0     123.38230       353.77724        408409.747
2014 Jun 29 06:25:00.0     123.47670       355.15953        408422.969
2014 Jun 29 06:30:00.0     123.54953       356.54505        408434.151
2014 Jun 29 06:35:00.0     123.60069       357.93301        408443.290
2014 Jun 29 06:40:00.0     123.63014       359.32256        408450.385
2014 Jun 29 06:45:00.0     123.63783         0.71289        408455.433
2014 Jun 29 06:50:00.0     123.62377         2.10316        408458.434
2014 Jun 29 06:55:00.0     123.58796         3.49253        408459.390
2014 Jun 29 07:00:00.0     123.53044         4.88017        408458.302
2014 Jun 29 07:05:00.0     123.45130         6.26526        408455.172
2014 Jun 29 07:10:00.0     123.35062         7.64700        408450.003
2014 Jun 29 07:15:00.0     123.22851         9.02458        408442.800
2014 Jun 29 07:20:00.0     123.08512        10.39725        408433.567
2014 Jun 29 07:25:00.0     122.92061        11.76425        408422.311
2014 Jun 29 07:30:00.0     122.73517        13.12485        408409.038
2014 Jun 29 07:35:00.0     122.52900        14.47837        408393.756
2014 Jun 29 07:40:00.0     122.30234        15.82415        408376.473
2014 Jun 29 07:45:00.0     122.05542        17.16155        408357.200
2014 Jun 29 07:50:00.0     121.78851        18.48999        408335.945
2014 Jun 29 07:55:00.0     121.50188        19.80892        408312.721
2014 Jun 29 08:00:00.0     121.19584        21.11782        408287.538
2014 Jun 29 08:05:00.0     120.87070        22.41621        408260.411
2014 Jun 29 08:10:00.0     120.52676        23.70366        408231.352
2014 Jun 29 08:15:00.0     120.16437        24.97978        408200.376
2014 Jun 29 08:20:00.0     119.78386        26.24421        408167.498
2014 Jun 29 08:25:00.0     119.38559        27.49664        408132.735
2014 Jun 29 08:30:00.0     118.96990        28.73680        408096.103
2014 Jun 29 08:35:00.0     118.53718        29.96445        408057.620
2014 Jun 29 08:40:00.0     118.08777        31.17939        408017.305
2014 Jun 29 08:45:00.0     117.62206        32.38148        407975.177
2014 Jun 29 08:50:00.0     117.14041        33.57058        407931.256
2014 Jun 29 08:55:00.0     116.64321        34.74660        407885.563
2014 Jun 29 09:00:00.0     116.13082        35.90949        407838.120
2014 Jun 29 09:05:00.0     115.60363        37.05922        407788.950
2014 Jun 29 09:10:00.0     115.06201        38.19580        407738.075
2014 Jun 29 09:15:00.0     114.50633        39.31927        407685.520
2014 Jun 29 09:20:00.0     113.93696        40.42967        407631.309
2014 Jun 29 09:25:00.0     113.35426        41.52711        407575.468
2014 Jun 29 09:30:00.0     112.75861        42.61167        407518.023
2014 Jun 29 09:35:00.0     112.15036        43.68350        407459.000
2014 Jun 29 09:40:00.0     111.52986        44.74274        407398.429
2014 Jun 29 09:45:00.0     110.89747        45.78955        407336.335
2014 Jun 29 09:50:00.0     110.25352        46.82413        407272.750
2014 Jun 29 09:55:00.0     109.59835        47.84668        407207.702
2014 Jun 29 10:00:00.0     108.93231        48.85740        407141.221
2014 Jun 29 10:05:00.0     108.25570        49.85653        407073.339
2014 Jun 29 10:10:00.0     107.56886        50.84430        407004.087
